name,HH,MM,SS,Wsp_70m,Wsp_57m,Wsp_44m,Wsp_31m,Wsp_18m,Rain,AirAbs_70m,AirAbs_18m,RHTemp_2m,Press_enc_2m,RH_2m,DAU_STATUS1_M1,WD_Vref_41m,WD_Vsig_41m,Wdir_41m,Sonic_70m_status,X_70m,Y_70m,Z_70m,T_70m,SWsp_70m,Sdir_70m,Svec_70m,Stilt_70m,Sonic_57m_status,X_57m,Y_57m,Z_57m,T_57m,SWsp_57m,Sdir_57m,Svec_57m,Stilt_57m,Sonic_44m_status,X_44m,Y_44m,Z_44m,T_44m,SWsp_44m,Sdir_44m,Svec_44m,Stilt_44m,Sonic_31m_status,X_31m,Y_31m,Z_31m,T_31m,SWsp_31m,Sdir_31m,Svec_31m,Stilt_31m,Sonic_18m_status,X_18m,Y_18m,Z_18m,T_18m,SWsp_18m,Sdir_18m,Svec_18m,Stilt_18m
201510161710,17.0,14.6038,29.5,6.05554,5.43583,4.87004,4.12098,3.17174,1.0,9.05474,9.24541,9.19415,1017.99,93.724,0.0138095,4.41682,3.79905,52.6489,1.71495,-4.96862,-3.64367,-0.251475,9.71553,6.1976,51.1001,6.21667,-2.20243,1.71405,-4.35565,-3.24244,-0.358827,10.1685,5.47833,51.6452,5.50848,-3.60983,1.714,-3.81004,-2.89605,-0.240584,9.50327,4.84064,51.9516,4.86735,-2.56773,1.71405,-3.21012,-2.43186,-0.273827,10.1047,4.09319,51.8679,4.12771,-3.25211,1.71443,-2.64135,-1.62659,-0.222307,10.1498,3.16359,45.9109,3.21076,-2.93307
201510161720,17.0,24.6043,29.4979,7.10655,6.60512,6.08974,5.28089,4.25032,1.0,9.01967,9.23094,9.17336,1018.03,93.478,0.0139048,4.41655,3.84598,56.4517,1.71505,-5.68467,-4.46728,-0.315175,9.7118,7.28841,53.138,7.31624,-2.30721,1.71448,-5.10752,-4.14835,-0.404585,10.1839,6.64341,53.9868,6.67954,-3.32893,1.71419,-4.55361,-3.91432,-0.26475,9.51058,6.08392,55.4586,6.12249,-2.06677,1.71467,-3.81737,-3.48329,-0.261545,10.0305,5.27823,56.9271,5.3395,-2.14201,1.71429,-3.24911,-2.66889,-0.281291,10.412,4.32833,53.9776,4.40112,-2.22219
201510161730,17.0,34.6047,29.4982,6.78665,6.33632,5.81193,5.02337,4.2063,0.517905,8.99186,9.20968,9.13357,1018.08,92.8182,0.0140952,4.41669,3.91496,62.2966,1.71409,-5.04092,-4.72691,-0.251177,9.66187,6.96947,58.1776,6.99469,-1.86727,1.71429,-4.46114,-4.49348,-0.260683,10.1491,6.40493,60.2859,6.43492,-2.17957,1.71438,-3.96498,-4.07885,-0.141348,9.45049,5.78448,61.1404,5.81702,-0.94553,1.71409,-3.34993,-3.53528,-0.214213,9.96522,4.97019,62.0311,5.02427,-1.29949,1.71409,-3.0194,-2.90067,-0.294778,10.6044,4.2917,59.0668,4.35712,-2.72855
201510161740,17.0,44.6048,29.5,6.67178,6.10083,5.3541,4.40187,3.69201,0.0,8.95137,9.18477,9.13626,1018.12,92.3094,0.0139048,4.41686,3.91867,62.3794,1.71429,-4.88979,-4.78375,-0.293198,9.59906,6.88107,59.5547,6.90802,-2.17637,1.71409,-4.33229,-4.35096,-0.341541,10.1011,6.19805,60.3065,6.23257,-2.89519,1.71409,-3.67817,-3.81893,-0.152806,9.39259,5.36914,61.1206,5.40611,-1.07685,1.71429,-2.90246,-3.27624,-0.106872,9.90379,4.46117,63.6602,4.51527,-0.130161,1.71409,-2.65095,-2.62437,-0.186805,10.5964,3.82173,59.9177,3.8733,-1.81756
201510161750,17.0104,53.9786,29.5,5.89214,5.4387,4.99346,4.25606,3.35088,0.143333,8.91438,9.14129,9.08996,1018.1,92.6374,0.0139048,4.41687,3.87386,58.6706,1.71409,-4.5694,-3.94252,-0.210436,9.55579,6.0641,55.7949,6.08092,-1.76037,1.71429,-4.02583,-3.65966,-0.289844,10.0512,5.47125,57.139,5.4911,-2.8515,1.71429,-3.63533,-3.42336,-0.205303,9.38012,5.02593,58.2021,5.04686,-2.01831,1.71409,-3.05147,-2.8635,-0.277503,9.86335,4.24139,58.1505,4.28035,-3.37337,1.71429,-2.61834,-2.18425,-0.292639,10.5112,3.49429,54.9367,3.54131,-4.05206
201510161800,18.0,4.60448,29.498,5.7595,5.22742,4.6968,3.82451,3.07241,0.620952,8.89612,9.09932,9.04776,1018.11,93.1428,0.0139048,4.41694,3.85642,57.2571,1.71429,-4.65529,-3.8354,-0.250334,9.54638,6.07858,54.4742,6.10305,-2.10127,1.71409,-4.07237,-3.47536,-0.302451,10.0448,5.40313,55.5296,5.43403,-2.91959,1.71409,-3.57574,-3.18323,-0.182653,9.37537,4.85308,56.8057,4.88743,-1.74195,1.71409,-2.88577,-2.54458,-0.187454,9.86308,3.94402,57.431,3.98955,-2.12027,1.71409,-2.44676,-1.93579,-0.241984,10.3825,3.21589,54.1836,3.26405,-3.36226
201510161810,18.0,14.6048,29.5,6.00276,5.69698,5.19285,4.42316,3.61764,1.0,8.87707,9.10345,9.03331,1018.12,93.4669,0.0140952,4.41687,3.84442,56.2943,1.71495,-4.79593,-3.94227,-0.202091,9.54021,6.2397,54.544,6.25981,-1.64477,1.71429,-4.42911,-3.69433,-0.294568,10.0445,5.8083,54.9435,5.83491,-2.6466,1.71457,-3.96237,-3.40582,-0.251438,9.35453,5.27125,56.0382,5.30196,-2.31056,1.71429,-3.34731,-2.85539,-0.314847,9.87418,4.46805,55.7281,4.50992,-3.5104,1.71467,-2.91721,-2.23969,-0.349599,9.9593,3.7581,53.131,3.81068,-4.82335
201510161820,18.0,24.6048,29.5,5.73018,5.2716,4.77419,4.08695,3.33881,1.0,8.82139,9.0702,9.02901,1018.15,93.6264,0.0140952,4.41687,3.84356,56.2219,1.71476,-4.56462,-3.6332,-0.20753,9.43995,5.87643,53.0899,5.90128,-1.61987,1.71429,-3.9391,-3.39012,-0.21397,9.96908,5.25264,55.2728,5.28216,-1.85209,1.71409,-3.46363,-3.06238,-0.135631,9.24808,4.6871,55.816,4.71426,-1.19339,1.71429,-2.87925,-2.73685,-0.100329,9.81477,4.05603,58.0099,4.10545,-0.588695,1.71409,-2.58704,-1.99469,-0.175844,9.90321,3.34184,52.1751,3.38303,-2.09667
201510161830,18.0,34.6048,29.5,5.38085,4.89136,4.35421,3.61129,2.87084,0.861238,8.76737,9.00336,8.9944,1018.14,94.294,0.0140952,4.41696,3.76702,50.0429,1.71448,-4.6488,-2.95573,-0.168614,9.36599,5.5412,47.4541,5.55757,-1.51517,1.71429,-4.07277,-2.62081,-0.259811,9.91865,4.88923,47.6271,4.91094,-2.81503,1.71438,-3.51035,-2.44206,-0.148657,9.21443,4.32002,49.7846,4.34668,-1.4954,1.71429,-2.85787,-1.9905,-0.187428,9.77039,3.53922,49.5026,3.58005,-2.0991,1.71429,-2.44738,-1.46254,-0.14739,9.85442,2.91738,45.0979,2.95967,-1.77077
201510161840,18.0,44.6048,29.5,5.4636,4.90724,4.34027,3.7176,2.94235,0.71819,8.73428,8.96071,8.96754,1018.16,94.8883,0.0140952,4.41661,3.75017,48.7005,1.71438,-4.78866,-2.89319,-0.120664,9.35176,5.62917,46.2253,5.64605,-0.888986,1.71429,-4.15646,-2.53954,-0.225827,9.92824,4.90855,46.4261,4.92901,-2.34698,1.71429,-3.59109,-2.32682,-0.0940705,9.20909,4.3251,48.0324,4.3465,-0.84492,1.71419,-2.98898,-1.85625,-0.117236,9.76201,3.57568,46.774,3.61141,-0.79574,1.71429,-2.4949,-1.37455,-0.161633,9.87201,2.91835,43.723,2.95726,-2.27516
201510161850,18.0105,53.9762,29.5039,5.6461,5.15823,4.52286,3.80163,3.07678,0.0,8.69167,8.93145,8.94359,1018.17,95.1828,0.0140952,4.4167,3.76586,49.9622,1.71467,-4.79931,-3.21288,-0.134995,9.37366,5.81663,48.4796,5.84028,-0.982119,1.71429,-4.29502,-2.87023,-0.23187,9.94652,5.21232,48.5186,5.24138,-2.12104,1.71409,-3.6274,-2.52817,-0.0895762,9.22114,4.48098,49.9114,4.52676,0.0878904,1.71429,-2.96008,-2.07662,-0.129139,9.78059,3.69281,50.375,3.74477,-0.529544,1.71409,-2.70608,-1.49606,-0.189801,9.8993,3.15165,43.9908,3.18985,-2.44129
201510161900,19.0,4.60433,29.5002,5.68852,5.19988,4.55803,3.80285,3.11841,0.0,8.65436,8.9081,8.91881,1018.16,95.4087,0.0140952,4.4168,3.74325,48.137,1.71476,-4.96913,-3.06627,-0.254444,9.30267,5.87393,46.5477,5.89233,-2.3109,1.71495,-4.36355,-2.7803,-0.347866,9.85969,5.21625,47.362,5.24312,-3.61427,1.71429,-3.78205,-2.42338,-0.149747,9.14638,4.54044,47.6753,4.56657,-1.4987,1.71448,-3.15726,-1.9566,-0.18189,9.7236,3.78369,46.8913,3.8226,-2.09501,1.71429,-2.85479,-1.33597,-0.218436,9.87187,3.21482,40.5182,3.26599,-3.04191
201510161910,19.0,14.6038,29.5,5.04008,4.69014,4.26662,3.62648,2.97554,0.0,8.58009,8.84311,8.86802,1018.17,95.7549,0.0140952,4.4168,3.7143,45.8023,1.71429,-4.52817,-2.49707,-0.156819,9.03787,5.20188,43.8565,5.21914,-1.5829,1.71409,-4.02096,-2.20952,-0.225903,9.67459,4.62137,43.7675,4.64285,-2.58733,1.71429,-3.6171,-2.08693,-0.106332,9.02449,4.21797,45.1151,4.23628,-1.14029,1.71429,-3.02986,-1.80937,-0.135539,9.67184,3.5868,45.9663,3.61327,-1.61225,1.71429,-2.59531,-1.39643,-0.196165,9.82635,3.0182,43.5948,3.05604,-2.91063
201510161920,19.0,24.6038,29.5,5.2356,4.86883,4.34172,3.75282,3.04018,0.0,8.51381,8.78346,8.80111,1018.2,96.1034,0.0139048,4.41684,3.73184,47.2017,1.71429,-4.62773,-2.75961,-0.152324,8.99929,5.42338,45.9491,5.44307,-1.36091,1.71429,-4.2042,-2.47707,-0.23608,9.76901,4.92039,45.6079,4.94371,-2.60062,1.71409,-3.72257,-2.3282,-0.131328,8.95482,4.43275,47.1245,4.4552,-1.23457,1.71429,-3.19173,-1.93426,-0.165884,9.68433,3.78188,46.3422,3.8136,-1.75685,1.71409,-2.85657,-1.36868,-0.21855,9.82978,3.22964,40.9151,3.27345,-3.12738
201510161930,19.0,34.604,29.4975,5.6104,5.09935,4.53838,3.85042,2.9131,0.0,8.46715,8.73928,8.7558,1018.22,96.3035,0.0140952,4.41685,3.72849,46.9429,1.71438,-4.97356,-2.89821,-0.269229,8.95314,5.78531,45.1981,5.80498,-2.49042,1.71429,-4.34659,-2.58646,-0.297429,9.73956,5.09022,45.6878,5.11283,-3.12951,1.71429,-3.79555,-2.31992,-0.121979,9.1223,4.48675,46.2986,4.50728,-1.17111,1.71429,-3.10362,-1.9753,-0.151641,9.65248,3.73444,47.7382,3.76704,-1.59248,1.71457,-2.56439,-1.39938,-0.140058,9.52825,2.98002,43.465,3.01557,-1.80303
