name,HH,MM,SS,Wsp_70m,Wsp_57m,Wsp_44m,Wsp_31m,Wsp_18m,Rain,AirAbs_70m,AirAbs_18m,RHTemp_2m,Press_enc_2m,RH_2m,DAU_STATUS1_M1,WD_Vref_41m,WD_Vsig_41m,Wdir_41m,Sonic_70m_status,X_70m,Y_70m,Z_70m,T_70m,SWsp_70m,Sdir_70m,Svec_70m,Stilt_70m,Sonic_57m_status,X_57m,Y_57m,Z_57m,T_57m,SWsp_57m,Sdir_57m,Svec_57m,Stilt_57m,Sonic_44m_status,X_44m,Y_44m,Z_44m,T_44m,SWsp_44m,Sdir_44m,Svec_44m,Stilt_44m,Sonic_31m_status,X_31m,Y_31m,Z_31m,T_31m,SWsp_31m,Sdir_31m,Svec_31m,Stilt_31m,Sonic_18m_status,X_18m,Y_18m,Z_18m,T_18m,SWsp_18m,Sdir_18m,Svec_18m,Stilt_18m
201510161710,0.0,2.88843,17.3181,0.908216,0.883476,0.856269,0.808301,0.848643,0.0,0.01646,0.0183256,0.0175176,0.0100376,0.162209,0.234012,6.03473e-05,0.113348,9.08067,1.97903,0.794101,0.86275,0.425581,0.0871688,0.963398,6.12242,0.96734,3.88122,1.97937,0.862307,0.845078,0.468248,0.114444,0.964796,7.51893,0.973451,4.72619,1.97937,0.751128,0.87844,0.471395,0.0688834,0.898668,8.72544,0.910134,5.30655,1.97927,0.775545,0.855494,0.482741,0.164373,0.893257,10.5239,0.906729,6.57945,1.97913,0.765711,0.782874,0.529281,0.0903562,0.901883,11.7915,0.917767,9.42395
201510161720,0.0,2.8885,17.3183,0.962464,0.911498,1.02839,1.08481,1.03518,0.0,0.0106493,0.00773532,0.00752182,0.024821,0.26272,0.235427,8.96875e-05,0.130761,10.4513,1.97912,0.935518,0.962698,0.563419,0.122656,0.976301,7.3308,0.981581,4.43454,1.97932,0.897215,0.971689,0.570081,0.0759684,0.953903,7.9814,0.957728,4.94742,1.97942,0.948114,1.09858,0.624569,0.0860997,1.07194,9.43166,1.06694,6.33385,1.97935,1.03647,1.23126,0.743009,0.084482,1.19838,12.1433,1.18579,8.98057,1.97949,1.09213,1.14384,0.749495,0.235422,1.20264,14.4358,1.2049,10.6564
201510161730,0.0,2.88863,17.3186,0.988356,0.950785,1.02336,1.08347,1.1508,0.499679,0.0136814,0.0141208,0.0250452,0.0216294,0.205981,0.237028,0.000177827,0.180927,11.2931,1.97946,0.966627,0.924637,0.540993,0.0812196,0.98505,7.45921,0.986822,4.52507,1.97949,1.03217,0.929175,0.561409,0.0750866,0.999423,8.6548,0.99846,5.18396,1.97936,1.15664,1.01956,0.590703,0.0785085,1.12922,10.9467,1.1254,6.2393,1.97946,1.15001,1.06943,0.6695,0.0796892,1.21802,11.9615,1.19886,9.34476,1.97946,1.09842,1.04023,0.682759,0.0748866,1.18347,12.9823,1.17805,10.2013
201510161740,0.0,2.88856,17.3181,0.876526,0.983136,1.0598,1.14601,0.982199,0.0,0.0149611,0.0234162,0.0144187,0.0163584,0.0428349,0.235427,7.22207e-05,0.139538,10.3287,1.97949,0.932887,0.77076,0.539482,0.0706127,0.953735,6.38579,0.956565,4.60125,1.97946,0.989097,0.86186,0.570779,0.069971,1.00249,8.03989,1.0091,5.2881,1.97946,1.00765,0.981997,0.604449,0.0718194,1.12481,9.44083,1.12051,6.90229,1.97949,1.0974,1.09631,0.665696,0.0724817,1.28923,11.7225,1.27714,9.71303,1.97946,0.98985,0.912178,0.601077,0.0655161,1.05883,12.8362,1.05853,9.62611
201510161750,0.101586,6.22431,17.3181,0.724325,0.794807,0.810087,0.765653,0.663455,0.350412,0.00703424,0.00674182,0.0242799,0.0146726,0.126983,0.235427,7.59293e-05,0.0942669,7.57353,1.97946,0.680258,0.65571,0.405292,0.0673389,0.736338,5.72868,0.739215,3.8781,1.97949,0.68236,0.728029,0.372653,0.0629602,0.813309,6.2743,0.816565,3.94583,1.97949,0.702004,0.723769,0.411363,0.0664485,0.831702,6.75279,0.831993,4.89753,1.97946,0.795039,0.7806,0.491447,0.0631838,0.873557,9.73887,0.865834,7.4357,1.97949,0.754483,0.74723,0.499383,0.0625545,0.737654,13.0135,0.740508,8.62923
201510161800,0.0,2.88872,17.3183,0.741991,0.732423,0.797311,0.894715,0.802095,0.48515,0.00857951,0.0152624,0.0172271,0.0106912,0.162707,0.235427,7.3573e-05,0.135916,10.8637,1.97949,0.767168,0.771802,0.499005,0.074091,0.785554,7.18371,0.794155,4.61046,1.97946,0.811589,0.753029,0.505757,0.0734299,0.833211,7.92651,0.840612,5.34233,1.97946,0.842082,0.780075,0.542382,0.0778882,0.827108,9.67899,0.822796,6.76886,1.97946,1.03036,0.759337,0.563485,0.0745886,0.941019,13.0588,0.936438,8.83025,1.97946,0.891856,0.721506,0.504932,0.161384,0.841414,14.2732,0.842276,9.60551
201510161810,0.0,2.88856,17.3181,0.824364,0.866769,0.997018,1.07035,1.2427,0.0,0.014739,0.0132386,0.00753797,0.0137041,0.117987,0.237028,7.42762e-05,0.108218,8.68115,1.97915,0.831538,0.669005,0.462478,0.0688872,0.86465,5.8195,0.86654,4.31169,1.97949,0.859448,0.737067,0.485108,0.0645128,0.900334,6.87876,0.907126,4.7428,1.97938,1.0012,0.800481,0.511683,0.0708828,1.07567,7.85371,1.07585,5.93361,1.97949,1.05899,0.91969,0.531815,0.0765651,1.16684,10.6189,1.16945,7.22178,1.97935,1.14106,0.880381,0.539229,0.0739969,1.21657,12.7727,1.22274,8.57534
201510161820,0.0,2.88856,17.3181,0.979382,0.957279,0.896904,0.864448,0.88758,0.0,0.0289048,0.0265338,0.0130417,0.0149974,0.163235,0.237028,9.54699e-05,0.127566,10.2152,1.97932,0.775154,0.978984,0.506216,0.0859231,1.03095,7.05051,1.03416,5.04321,1.97949,0.81452,0.997162,0.510941,0.0772745,1.03774,8.75602,1.03574,5.99426,1.97946,0.75931,0.978421,0.483101,0.0745717,0.969479,9.89136,0.96762,6.25513,1.97949,0.857435,0.956128,0.616215,0.077565,0.989153,12.2798,0.982249,9.3904,1.97946,0.836332,0.837315,0.501315,0.069882,0.950899,12.413,0.953653,9.0199
201510161830,0.0,2.88856,17.3181,0.613687,0.568482,0.760003,0.933116,0.846254,0.345698,0.0124449,0.0197508,0.0155637,0.0217739,0.194192,0.237028,0.000130805,0.106223,8.5274,1.97942,0.653048,0.618774,0.393855,0.0771001,0.672407,6.19406,0.673794,4.15568,1.97949,0.583986,0.6859,0.386562,0.0647078,0.602472,7.94695,0.605958,4.58123,1.97945,0.730371,0.685958,0.453007,0.0679216,0.792216,8.4332,0.789849,6.37624,1.97949,0.846762,0.825703,0.514783,0.0645819,1.0011,10.6987,1.00582,8.65794,1.97949,0.759397,0.803567,0.5083,0.0639727,0.916528,12.3682,0.933561,9.51865
201510161840,0.0,2.88856,17.3181,0.763027,0.750371,0.764488,0.758003,0.647984,0.449881,0.0146342,0.01127,0.012875,0.0114416,0.13822,0.237028,8.06869e-05,0.113538,9.10516,1.97945,0.789424,0.647007,0.419041,0.0755354,0.81,6.37526,0.80988,4.42521,1.97949,0.741387,0.669689,0.396301,0.0618859,0.793569,7.21587,0.797808,4.65276,1.97949,0.763729,0.661077,0.420381,0.059709,0.789854,8.48741,0.789825,5.75153,1.97942,0.783328,0.704699,0.482199,0.0685472,0.839279,10.5499,0.832964,8.63208,1.97949,0.718331,0.668115,0.453631,0.0608648,0.747993,12.7485,0.750186,9.27533
